Lat,Lon,Alt,Speed
47.3977419,8.5455939,3,0
47.3977763,8.5455923,538.2669067382812,0.5
47.3977812,8.5456433,538.285888671875,0.5
47.3977445,8.5456523,538.2818603515625,0.5
47.3977445,8.5456523,538.2818603515625,0.5
47.3977445,8.5456523,538.2818603515625,0.5
total distance,11.851208973338096
average_speed,0.25128489361921763
total_time,47.16244101524353
